eigen_values;results
['-0.26794919243112325', '-3.732050807568877'];0
['-4.414213562373095', '-1.585786437626905'];0
['6.424428900898052', '-3.4244289008980524'];1
['(0.49999999999999983+4.873397172404481j)', '(0.49999999999999983-4.873397172404481j)'];1
['-3.8377223398316205', '-10.162277660168378'];0
['6.815072906367325', '-3.8150729063673245'];1
['5.099019513592786', '-5.0990195135927845'];1
['11.881527307120106', '-4.881527307120105'];1
['(1.0000000000000004+5.656854249492381j)', '(1.0000000000000004-5.656854249492381j)'];1
['0.0', '-9.0'];1
['(4.999999999999999+3.3166247903553994j)', '(4.999999999999999-3.3166247903553994j)'];1
['(-1.4999999999999991+7.33143914930759j)', '(-1.4999999999999991-7.33143914930759j)'];0
['4.76393202250021', '9.23606797749979'];1
['(0.5+4.444097208657795j)', '(0.5-4.444097208657795j)'];1
['(-1.4999999999999996+5.07444578254611j)', '(-1.4999999999999996-5.07444578254611j)'];0
['-7.0', '8.0'];1
['(3.7470027081099033e-16+2.0000000000000004j)', '(3.7470027081099033e-16-2.0000000000000004j)'];1
['(0.5+5.267826876426368j)', '(0.5-5.267826876426368j)'];1
['(-0.5+5.361902647381803j)', '(-0.5-5.361902647381803j)'];0
['(-5+4.000000000000001j)', '(-5-4.000000000000001j)'];0
['11.366600265340756', '-5.366600265340756'];1
['-7.872983346207416', '-0.1270166537925832'];0
['(5.5+4.873397172404482j)', '(5.5-4.873397172404482j)'];1
['(-2.999999999999999+4.472135954999579j)', '(-2.999999999999999-4.472135954999579j)'];0
['4.588723439378914', '-9.588723439378912'];1
['(1.0000000000000002+0.9999999999999999j)', '(1.0000000000000002-0.9999999999999999j)'];1
['-5.0', '0.0'];1
['(5.5+3.4278273002005224j)', '(5.5-3.4278273002005224j)'];1
['1.7639320225002102', '6.23606797749979'];1
['-3.0', '-6.0'];0
['(2+7.4833147735478835j)', '(2-7.4833147735478835j)'];1
['9.412113800799503', '-10.412113800799505'];1
['(2+6.000000000000001j)', '(2-6.000000000000001j)'];1
['(-8.499999999999998+3.8405728739343035j)', '(-8.499999999999998-3.8405728739343035j)'];0
['(-5+7.681145747868608j)', '(-5-7.681145747868608j)'];0
['-6.2662812973353965', '5.266281297335398'];1
['-5.2662812973353965', '6.266281297335398'];1
['-1.0', '2.0'];1
['(-4.440892098500626e-16+5.0990195135927845j)', '(-4.440892098500626e-16-5.0990195135927845j)'];0
['-8.623475382979798', '1.6234753829797994'];1
['4.772001872658764', '-3.772001872658765'];1
['(-3+3.999999999999999j)', '(-3-3.999999999999999j)'];0
['9.0', '5.0'];1
['-9.772001872658766', '-1.2279981273412344'];0
['4.795831523312721', '-4.795831523312719'];1
['5.0', '-10.0'];1
['(3.9999999999999996+6.6332495807108j)', '(3.9999999999999996-6.6332495807108j)'];1
['1.3722813232690143', '-4.372281323269014'];1
['-1.0', '5.0'];1
['-9.141428428542849', '5.14142842854285'];1
['6.372281323269014', '0.6277186767309857'];1
['-5.124038404635959', '11.12403840463596'];1
['9.440306508910549', '-11.44030650891055'];1
['-7.3484692283495345', '7.3484692283495345'];1
['-3.267949192431123', '-6.732050807568878'];0
['(-0.9999999999999997+5.3726900748371916e-08j)', '(-0.9999999999999997-5.3726900748371916e-08j)'];0
['6.708203932499369', '-6.708203932499369'];1
['(1.9999999999999998+3.4641016151377544j)', '(1.9999999999999998-3.4641016151377544j)'];1
['(-6.5+6.9821200218844695j)', '(-6.5-6.9821200218844695j)'];0
['2.6157731058639087', '-12.615773105863909'];1
['13.0', '0.0'];1
['(2.5+2.598076211353316j)', '(2.5-2.598076211353316j)'];1
['(-4.5+3.9686269665968856j)', '(-4.5-3.9686269665968856j)'];0
['6.658910531638178', '-7.658910531638177'];1
['2.5505102572168212', '7.449489742783178'];1
['-6.211102550927979', '8.21110255092798'];1
['(-4.000000000000002+4.79583152331272j)', '(-4.000000000000002-4.79583152331272j)'];0
['(6.5+8.470537173048708j)', '(6.5-8.470537173048708j)'];1
['(1+4.242640687119285j)', '(1-4.242640687119285j)'];1
['(-4.999999999999998+5.916079783099614j)', '(-4.999999999999998-5.916079783099614j)'];0
['1.837722339831621', '8.16227766016838'];1
['(-5+6.928203230275509j)', '(-5-6.928203230275509j)'];0
['3.324555320336759', '-9.32455532033676'];1
['-7.211102550927979', '7.211102550927978'];1
['7.3218253804964775', '-2.3218253804964775'];1
['0.41421356237309515', '-2.414213562373095'];1
['6.810249675906654', '-8.810249675906654'];1
['8.3166247903554', '1.6833752096446002'];1
['4.076473218982953', '-9.076473218982953'];1
['-5.6332495807108', '7.6332495807108'];1
['(7+7.348469228349534j)', '(7-7.348469228349534j)'];1
['(-4.5+6.304760106459247j)', '(-4.5-6.304760106459247j)'];0
['12.348469228349533', '-2.3484692283495345'];1
['-2.0', '5.0'];1
['4.916079783099617', '-6.916079783099616'];1
['-6.280109889280517', '8.280109889280519'];1
['(-0.9999999999999993+6.244997998398398j)', '(-0.9999999999999993-6.244997998398398j)'];0
['1.0', '-7.0'];1
['8.0', '5.0'];1
['-5.302775637731995', '-1.6972243622680052'];0
['3.5825756949558407', '-5.58257569495584'];1
['(1.0000000000000004+3.464101615137755j)', '(1.0000000000000004-3.464101615137755j)'];1
['5.701562118716424', '-0.7015621187164243'];1
['7.708203932499369', '-5.708203932499369'];1
['-5.0', '1.0'];1
['-8.0', '5.0'];1
['1.0', '0.0'];1
['(-5.5+4.2130748865881795j)', '(-5.5-4.2130748865881795j)'];0
['-2.0', '0.0'];1
['-8.772001872658766', '-0.22799812734123437'];0
['(8+3.4641016151377544j)', '(8-3.4641016151377544j)'];1
['-6.0', '0.0'];1
['-5.0', '-2.0'];0
['(1.5000000000000004+5.454356057317858j)', '(1.5000000000000004-5.454356057317858j)'];1
['(-1.4999999999999996+0.8660254037844389j)', '(-1.4999999999999996-0.8660254037844389j)'];0
['4.520797289396147', '-7.520797289396148'];1
['-5.4833147735478835', '9.483314773547884'];1
['3.4494897427831788', '-1.4494897427831783'];1
['(2+2.8284271247461903j)', '(2-2.8284271247461903j)'];1
['-6.3484692283495345', '8.348469228349535'];1
['9.623475382979798', '-0.6234753829797994'];1
['(6.999999999999998+5.916079783099615j)', '(6.999999999999998-5.916079783099615j)'];1
['6.37386354243376', '-7.37386354243376'];1
['-8.658910531638178', '5.658910531638177'];1
['-8.23606797749979', '-3.76393202250021'];0
['-1.0', '4.0'];1
['(-2+2.82842712474619j)', '(-2-2.82842712474619j)'];0
['-1.4384471871911693', '-5.561552812808831'];0
['-0.5278640450004204', '-9.47213595499958'];0
['-2.2449979983984', '10.244997998398398'];1
['-5.291502622129181', '5.291502622129181'];1
['10.2169905660283', '0.783009433971698'];1
['(3+6.324555320336758j)', '(3-6.324555320336758j)'];1
['(-5+3.1622776601683795j)', '(-5-3.1622776601683795j)'];0
['9.782329983125269', '-3.782329983125268'];1
['(-7.499999999999999+3.427827300200522j)', '(-7.499999999999999-3.427827300200522j)'];0
['(4.5+5.267826876426368j)', '(4.5-5.267826876426368j)'];1
['(-5+3.4641016151377544j)', '(-5-3.4641016151377544j)'];0
['2.226812023536855', '-11.226812023536855'];1
['(6.5+6.224949798994366j)', '(6.5-6.224949798994366j)'];1
['1.2984378812835757', '7.701562118716424'];1
['9.295630140987', '-11.295630140987'];1
['10.67877987534291', '-7.67877987534291'];1
['-2.17157287525381', '-7.82842712474619'];0
['-7.0', '0.0'];1
['8.544003745317532', '-8.54400374531753'];1
['-4.872983346207417', '2.872983346207417'];1
['-7.165151389911678', '11.165151389911681'];1
['-4.684658438426492', '7.68465843842649'];1
['-10.06637297521078', '5.066372975210777'];1
['10.830951894845299', '-0.8309518948453007'];1
['(4.5+7.794228634059947j)', '(4.5-7.794228634059947j)'];1
['-7.0', '-11.0'];0
['(3.4999999999999996+4.873397172404482j)', '(3.4999999999999996-4.873397172404482j)'];1
['-2.0', '-4.0'];0
['12.18535277187245', '-4.18535277187245'];1
['-7.2620873481300094', '8.262087348130011'];1
['-3.3722813232690143', '2.3722813232690143'];1
['(0.9999999999999999+5.5677643628300215j)', '(0.9999999999999999-5.5677643628300215j)'];1
['-1.405124837953327', '6.405124837953327'];1
['-1.1010205144336433', '-10.898979485566356'];0
['(3.499999999999999+2.598076211353316j)', '(3.499999999999999-2.598076211353316j)'];1
['6.0', '5.0'];1
['1.0', '8.0'];1
['(0.9999999999999996+2.980232238769532e-08j)', '(0.9999999999999996-2.980232238769532e-08j)'];1
['(3.499999999999999+6.7638746292343415j)', '(3.499999999999999-6.7638746292343415j)'];1
['6.124038404635959', '-10.12403840463596'];1
['(3.9999999999999996+4.12310562561766j)', '(3.9999999999999996-4.12310562561766j)'];1
['3.0', '8.0'];1
['-8.48074069840786', '4.48074069840786'];1
['(-0.4999999999999999+1.6583123951777j)', '(-0.4999999999999999-1.6583123951777j)'];0
['5.211102550927979', '-9.21110255092798'];1
['-7.141428428542849', '7.14142842854285'];1
['15.0', '-3.0'];1
['-9.0', '7.0'];1
['(3+6.244997998398399j)', '(3-6.244997998398399j)'];1
['0.3851648071345046', '-10.385164807134505'];1
['4.898979485566356j', '-4.898979485566356j'];1
['(5+3.872983346207417j)', '(5-3.872983346207417j)'];1
['-6.69041575982343', '2.6904157598234297'];1
['(-1.4999999999999998+5.454356057317857j)', '(-1.4999999999999998-5.454356057317857j)'];0
['1.2176700168747328', '14.782329983125269'];1
['-7.4833147735478835', '7.483314773547883'];1
['-1.0', '8.0'];1
['-8.38986691902975', '7.38986691902975'];1
['9.54400374531753', '-7.544003745317532'];1
['-1.4031242374328485', '11.403124237432849'];1
['(-3.5+2.78388218141501j)', '(-3.5-2.78388218141501j)'];0
['(-1.5+3.968626966596885j)', '(-1.5-3.968626966596885j)'];0
['(2.9999999999999996+8.06225774829855j)', '(2.9999999999999996-8.06225774829855j)'];1
['-4.7201532544552744', '5.7201532544552744'];1
['-11.531128874149275', '-3.468871125850725'];0
['-10.72841614740048', '3.72841614740048'];1
['(5.999999999999998+4.242640687119284j)', '(5.999999999999998-4.242640687119284j)'];1
['-2.4641016151377535', '4.464101615137754'];1
['1.4833147735478835', '-13.483314773547882'];1
['-1.127016653792583', '-8.872983346207416'];0
['5.697224362268006', '9.302775637731994'];1
['10.82842712474619', '5.17157287525381'];1
['7.645751311064591', '2.3542486889354093'];1
['5.0', '9.0'];1
['-7.582575694955839', '1.5825756949558398'];1
['(-0.9999999999999999+2.8284271247461894j)', '(-0.9999999999999999-2.8284271247461894j)'];0
['(5.499999999999999+2.179449471770336j)', '(5.499999999999999-2.179449471770336j)'];1
['-10.54138126514911', '-4.458618734850891'];0
['5.0', '-2.0'];1
['-11.345903006477068', '6.345903006477066'];1
['-10.310708435174291', '9.310708435174291'];1
['(9+5.477225575051661j)', '(9-5.477225575051661j)'];1
['0.4586187348508899', '6.54138126514911'];1
['8.358898943540673', '-0.35889894354067353'];1
['0.7550020016016017', '13.244997998398398'];1
['12.36931687685298', '-12.36931687685298'];1
['10.310708435174291', '-9.310708435174291'];1
['-11.38986691902975', '4.38986691902975'];1
['0.9999999999999991', '3.0000000000000004'];1
['0.0', '3.0'];1
['-10.0', '9.0'];1
['-3.2583426132260582', '-10.74165738677394'];0
['-4.0', '5.0'];1
['(3.5+3.968626966596886j)', '(3.5-3.968626966596886j)'];1
['(-0.4999999999999999+2.7838821814150108j)', '(-0.4999999999999999-2.7838821814150108j)'];0
['3.0', '-7.0'];1
['(3+3.6055512754639896j)', '(3-3.6055512754639896j)'];1
['-2.0', '7.0'];1
['9.306623862918073', '-7.306623862918075'];1
['-6.772001872658766', '1.7720018726587656'];1
['(-5.5+1.9364916731037092j)', '(-5.5-1.9364916731037092j)'];0
['-5.6332495807108', '7.6332495807108'];1
['(-1.5000000000000002+5.979130371550697j)', '(-1.5000000000000002-5.979130371550697j)'];0
['3.0', '-7.0'];1
['(-3+2.82842712474619j)', '(-3-2.82842712474619j)'];0
['(-2.5+4.330127018922194j)', '(-2.5-4.330127018922194j)'];0
['-9.274917217635375', '-1.725082782364625'];0
['4.424428900898052', '-5.424428900898052'];1
['7.831760866327848', '-9.831760866327848'];1
['(-0.5+0.8660254037844385j)', '(-0.5-0.8660254037844385j)'];0
['7.392304845413264', '-13.392304845413264'];1
['-9.23606797749979', '-4.76393202250021'];0
['(1.4999999999999998+3.4278273002005215j)', '(1.4999999999999998-3.4278273002005215j)'];1
['1.3027756377319948', '-2.302775637731995'];1
['(8+5.999999999999999j)', '(8-5.999999999999999j)'];1
['(-2.4999999999999996+1.322875655532295j)', '(-2.4999999999999996-1.322875655532295j)'];0
['(0.9999999999999999+4.358898943540673j)', '(0.9999999999999999-4.358898943540673j)'];1
['4.872983346207417', '-2.872983346207417'];1
['6.68465843842649', '-5.68465843842649'];1
['6.219544457292887', '-12.219544457292887'];1
['(-2+3.4641016151377544j)', '(-2-3.4641016151377544j)'];0
['-8.0', '-5.0'];0
['-3.9999999999999982', '0.9999999999999991'];1
['-1.0', '-2.0'];0
['0.5413812651491097', '-5.54138126514911'];1
['-12.452986860293432', '3.452986860293434'];1
['-9.446221994724901', '4.446221994724903'];1
['-4.446221994724901', '9.446221994724903'];1
['(5.5+5.26782687642637j)', '(5.5-5.26782687642637j)'];1
['(-1.5+2.3979157616563596j)', '(-1.5-2.3979157616563596j)'];0
['4.582575694955839', '-4.58257569495584'];1
['(-3+7.416198487095663j)', '(-3-7.416198487095663j)'];0
['(-1.9999999999999996+3.1622776601683786j)', '(-1.9999999999999996-3.1622776601683786j)'];0
['-1.0', '-3.0'];0
['-4.414213562373095', '-1.585786437626905'];0
['(2+3.464101615137755j)', '(2-3.464101615137755j)'];1
['(7.5+5.267826876426369j)', '(7.5-5.267826876426369j)'];1
['(-0.49999999999999944+2.7838821814150116j)', '(-0.49999999999999944-2.7838821814150116j)'];0
['-8.772001872658766', '-0.22799812734123437'];0
['6.741657386773942', '-0.7416573867739409'];1
['2.0', '-5.0'];1
['3.0', '-9.0'];1
['(-1.5+0.8660254037844378j)', '(-1.5-0.8660254037844378j)'];0
['(7+8.774964387392123j)', '(7-8.774964387392123j)'];1
['7.5677643628300215', '-3.567764362830022'];1
['(9+4.898979485566356j)', '(9-4.898979485566356j)'];1
['3.0', '0.0'];1
['3.623475382979799', '-6.6234753829798'];1
['(-1.9999999999999996+4.472135954999579j)', '(-1.9999999999999996-4.472135954999579j)'];0
['(-2.7755575615628914e-17+1.4142135623730951j)', '(-2.7755575615628914e-17-1.4142135623730951j)'];0
['(-1+6j)', '(-1-6j)'];0
['(2.5+3.1224989991991983j)', '(2.5-3.1224989991991983j)'];1
['6.449489742783178', '1.550510257216822'];1
['(1.5+1.3228756555322951j)', '(1.5-1.3228756555322951j)'];1
['-2.0', '6.0'];1
['(6.5+5.979130371550699j)', '(6.5-5.979130371550699j)'];1
['-3.32455532033676', '9.324555320336758'];1
['(-1.5+7.123903424387502j)', '(-1.5-7.123903424387502j)'];0
['13.0', '0.0'];1
['(3.5+3.122498999199199j)', '(3.5-3.122498999199199j)'];1
['0.8284271247461898', '-4.82842712474619'];1
['-5.16227766016838', '1.1622776601683795'];1
['3.0', '-4.0'];1
['(-2.5+5.722761571129799j)', '(-2.5-5.722761571129799j)'];0
['-7.18535277187245', '9.18535277187245'];1
['(-4+5.567764362830022j)', '(-4-5.567764362830022j)'];0
['-9.59166304662544', '9.591663046625438'];1
['(-0.9999999999999997+6.855654600401045j)', '(-0.9999999999999997-6.855654600401045j)'];0
['-4.23606797749979', '0.23606797749978958'];1
['6.0', '3.0'];1
['(-2+4.472135954999579j)', '(-2-4.472135954999579j)'];0
['(-3.4999999999999996+5.722761571129798j)', '(-3.4999999999999996-5.722761571129798j)'];0
['6.47213595499958', '-2.4721359549995796'];1
['-5.37386354243376', '8.37386354243376'];1
['-2.0', '6.0'];1
['-6.0', '8.0'];1
['-0.6411010564593269', '-9.358898943540673'];0
['5.0', '-6.0'];1
['(4+3j)', '(4-3j)'];1
['(4+7.348469228349534j)', '(4-7.348469228349534j)'];1
['-1.795831523312721', '7.795831523312719'];1
['(-3+1.4142135623730951j)', '(-3-1.4142135623730951j)'];0
['8.658910531638178', '-5.658910531638176'];1
['-4.6332495807108', '8.6332495807108'];1
['3.0', '-2.0'];1
['(5.5+8.351646544245032j)', '(5.5-8.351646544245032j)'];1
['(1+6.928203230275509j)', '(1-6.928203230275509j)'];1
['(-6.5+1.6583123951777003j)', '(-6.5-1.6583123951777003j)'];0
['0.7720018726587652', '-7.772001872658766'];1
['6.4031242374328485', '-6.4031242374328485'];1
['-9.152067347825035', '4.152067347825035'];1
['(4.499999999999999+3.4278273002005215j)', '(4.499999999999999-3.4278273002005215j)'];1
['7.219544457292887', '-11.219544457292887'];1
['-2.0', '4.0'];1
['-8.0', '3.0'];1
['3.7082039324993694', '-9.70820393249937'];1
['(2.5+6.461423991660042j)', '(2.5-6.461423991660042j)'];1
['11.345903006477066', '-6.345903006477067'];1
['-5.0', '8.0'];1
['4.690415759823429', '-4.69041575982343'];1
['-7.577747210701759', '8.577747210701757'];1
['(-7.500000000000001+5.172040216394301j)', '(-7.500000000000001-5.172040216394301j)'];0
['6.2662812973354', '-5.266281297335397'];1
['-7.700609733428363', '8.700609733428362'];1
['10.055385138137417', '-8.055385138137417'];1
['-3.358898943540673', '5.358898943540674'];1
['(-2.4999999999999996+5.809475019311125j)', '(-2.4999999999999996-5.809475019311125j)'];0
['(-5+4.358898943540673j)', '(-5-4.358898943540673j)'];0
['(7.499999999999998+5.9791303715506965j)', '(7.499999999999998-5.9791303715506965j)'];1
['4.2169905660283025', '-5.216990566028302'];1
['8.47213595499958', '-0.47213595499957917'];1
['9.416198487095663', '-5.416198487095663'];1
['9.70820393249937', '-3.708203932499369'];1
['9.099019513592784', '-1.099019513592785'];1
['-3.0', '8.0'];1
['-6.764982043070834', '5.764982043070834'];1
['(5.500000000000002+5.172040216394301j)', '(5.500000000000002-5.172040216394301j)'];1
['9.605551275463988', '2.3944487245360104'];1
['5.928203230275509', '-7.928203230275509'];1
['1.6055512754639896', '-5.60555127546399'];1
['(4.000000000000001+2.000000000000001j)', '(4.000000000000001-2.000000000000001j)'];1
['(-4.5+0.8660254037844384j)', '(-4.5-0.8660254037844384j)'];0
['(0.49999999999999967+5.361902647381803j)', '(0.49999999999999967-5.361902647381803j)'];1
['4.39444872453601', '11.60555127546399'];1
['14.0', '-2.0'];1
['5.1321687612368745', '-10.132168761236874'];1
['9.0', '-7.0'];1
['(1.0000000000000002+2.9999999999999996j)', '(1.0000000000000002-2.9999999999999996j)'];1
['(-7.499999999999999+7.193747284969078j)', '(-7.499999999999999-7.193747284969078j)'];0
['11.47213595499958', '2.5278640450004204'];1
['(2.5+4.663689526544408j)', '(2.5-4.663689526544408j)'];1
['-6.424428900898052', '3.4244289008980524'];1
['-1.999999957853152', '-2.000000042146849'];0
['1.6904157598234288', '-7.69041575982343'];1
['(5.5+3.427827300200522j)', '(5.5-3.427827300200522j)'];1
['-0.6180339887498949', '1.618033988749895'];1
['-7.732050807568877', '-4.267949192431122'];0
['6.531128874149275', '-1.5311288741492748'];1
['(1.9999999999999996+8.426149773176357j)', '(1.9999999999999996-8.426149773176357j)'];1
['-5.0', '8.0'];1
['(3.9999999999999996+5.1619136559035694e-08j)', '(3.9999999999999996-5.1619136559035694e-08j)'];1
['0.7720018726587661', '-7.772001872658766'];1
['11.0', '3.0'];1
['-6.446221994724901', '7.446221994724902'];1
['3.520797289396146', '-8.520797289396148'];1
['2.0', '6.0'];1
['(-1.1102230246251565e-16+4.79583152331272j)', '(-1.1102230246251565e-16-4.79583152331272j)'];0
['2.585786437626905', '5.414213562373095'];1
['10.0', '6.0'];1
['-15.226812023536855', '-1.773187976463145'];0
['(-4.000000000000001+5.5677643628300215j)', '(-4.000000000000001-5.5677643628300215j)'];0
['-3.0', '-2.0'];0
['-8.452986860293436', '7.452986860293433'];1
['-7.3166247903554', '-0.6833752096446002'];0
['-9.816653826391967', '11.816653826391969'];1
['(5.5+2.3979157616563596j)', '(5.5-2.3979157616563596j)'];1
['2.1097722286464435', '-7.1097722286464435'];1
['-10.052486587271403', '9.0524865872714'];1
['-7.300735254367723', '6.300735254367721'];1
['9.517834423809099', '-4.5178344238090995'];1
['(3.9999999999999996+7.874007874011811j)', '(3.9999999999999996-7.874007874011811j)'];1
['-9.449489742783179', '-4.550510257216822'];0
['(1.9999999999999998+3.000000000000001j)', '(1.9999999999999998-3.000000000000001j)'];1
['-4.2169905660283025', '5.216990566028302'];1
['-10.109772228646444', '-0.8902277713535562'];0
['7.366600265340757', '-9.366600265340756'];1
['5.23606797749979', '0.7639320225002102'];1
['2.782329983125269', '-10.782329983125269'];1
['-9.0', '5.0'];1
['-9.0', '-3.0'];0
['-9.0', '5.0'];1
['(2.999999999999999+3.3166247903554003j)', '(2.999999999999999-3.3166247903554003j)'];1
['-5.0', '-5.0'];0
['6.405124837953327', '-1.4051248379533272'];1
['0.12310562561766147', '-8.123105625617661'];1
['6.358898943540673', '-2.3588989435406735'];1
['(-9+5.196152422706632j)', '(-9-5.196152422706632j)'];0
['0.3095842401765694', '9.690415759823429'];1
['6.0', '-1.0'];1
['0.0', '-8.0'];1
['6.0', '-9.0'];1
['3.0', '-1.0'];1
['4.424428900898054', '-5.424428900898053'];1
['-6.653311931459037', '1.6533119314590374'];1
['(-4+4.47213595499958j)', '(-4-4.47213595499958j)'];0
['0.4384471871911697', '4.561552812808831'];1
['17.055385138137417', '-1.0553851381374173'];1
['-1.639410298049853', '14.639410298049853'];1
['(1.5000000000000002+0.8660254037844389j)', '(1.5000000000000002-0.8660254037844389j)'];1
['-3.062257748298549', '13.06225774829855'];1
['(-3+4.12310562561766j)', '(-3-4.12310562561766j)'];0
['-13.520797289396146', '-1.4792027106038512'];0
['6.242640687119285', '-2.242640687119285'];1
['-9.539392014169458', '9.539392014169456'];1
['-3.0', '-10.0'];0
['-2.618033988749895', '-0.3819660112501052'];0
['-6.1231056256176615', '2.1231056256176606'];1
['-12.266281297335398', '-0.7337187026646026'];0
['(-6.499999999999999+4.8733971724044824j)', '(-6.499999999999999-4.8733971724044824j)'];0
['-6.898979485566356', '2.898979485566356'];1
['5.7912878474779195', '1.20871215252208'];1
['-5.7201532544552744', '4.720153254455275'];1
['6.08276253029822', '-6.082762530298219'];1
['6.898979485566356', '-2.898979485566356'];1
['-5.0', '9.0'];1
['(-0.9999999999999999+6.855654600401044j)', '(-0.9999999999999999-6.855654600401044j)'];0
['-6.244997998398398', '6.244997998398398'];1
['8.0524865872714', '-11.0524865872714'];1
['-7.0', '1.0'];1
['(-2+4.47213595499958j)', '(-2-4.47213595499958j)'];0
['-7.761355820929154', '8.761355820929152'];1
['5.830951894845299', '-5.830951894845301'];1
['(-5.499999999999999+2.39791576165636j)', '(-5.499999999999999-2.39791576165636j)'];0
['1.594875162046673', '9.405124837953327'];1
['-8.744562646538029', '2.7445626465380286'];1
